SS_NoSpace,TreeSpp,MeanPlotSiteIndex
CWHwh2/03,Cw,16
CWHwh2/03,Hw,20
CWHwh2/03,Ss,24
CWHwh2/03,Yc,16
CWHwh2/04,Cw,12
CWHwh2/04,Hw,16
CWHwh2/04,Ss,20
CWHwh2/04,Yc,12
CWHwh2/05,Cw,8
CWHwh2/05,Hm,8
CWHwh2/05,Hw,12
CWHwh2/05,Yc,8
CWHwh2/06,Cw,8
CWHwh2/06,Hm,8
CWHwh2/06,Hw,12
CWHwh2/06,Yc,8
CWHwh2/101,Cw,16
CWHwh2/101,Hm,16
CWHwh2/101,Hw,20
CWHwh2/101,Ss,20
CWHwh2/101,Yc,16
CWHwh2/110,Cw,16
CWHwh2/110,Hw,20
CWHwh2/110,Ss,24
CWHwh2/110,Yc,16
CWHwh2/111,Cw,8
CWHwh2/111,Hm,8
CWHwh2/111,Hw,8
CWHwh2/111,Yc,8
CWHwh2/112,Cw,12
CWHwh2/112,Hm,16
CWHwh2/112,Hw,16
CWHwh2/112,Ss,16
CWHwh2/112,Yc,16
CWHwm/01,Ba,24
CWHwm/01,Cw,19.6933332
CWHwm/01,Hm,24
CWHwm/01,Hw,19.60117671
CWHwm/01,Ss,21.3880002
CWHwm/01,Yc,20
CWHwm/02,Cw,16
CWHwm/02,Hm,20
CWHwm/02,Hw,20
CWHwh1/02,Pl,20
CWHwm/02,Ss,16
CWHwm/02,Yc,16
CWHwm/03,Ba,28
CWHwm/03,Cw,24
CWHwm/03,Hw,28
CWHwm/03,Ss,30.26285771
CWHwm/04,Ba,28
CWHwm/04,Cw,24
CWHwm/04,Hw,28
CWHwm/04,Ss,32
CWHwm/05,Ba,28
CWHwm/05,Cw,24
CWHwm/05,Hw,28
CWHwm/05,Ss,32
CWHwm/06,Ba,28
CWHwm/06,Cw,24
CWHwm/06,Ss,32
CWHwm/08,Cw,12
CWHwm/08,Hm,16
CWHwm/08,Hw,16
CWHwh1/10,Pl,16
CWHwm/08,Yc,12
CWHwm/09,Cw,16
CWHwm/09,Hw,16
CWHwm/09,Ss,20
CWHwm/10,Cw,8
CWHwh1/102,Pl,20
CWHwm/10,Yc,8
CWHws1/01,Ba,25.16430737
CWHws1/01,Cw,19.79666654
CWHws1/01,Hw,22.86878586
CWHwh1/11,Pl,12
CWHws1/01,Sx,24.00999997
CWHws1/02,Cw,8
CWHws1/02,Hw,12
CWHwh1/110,Pl,20
CWHws1/03,Cw,16
CWHws1/03,Hw,17.90499964
CWHwh1/115,Pl,16
CWHws1/04,Ba,27.67799988
CWHws1/04,Cw,24.14857129
CWHws1/04,Hw,26.15363641
CWHwh1/12,Pl,16
CWHws1/04,Sx,26.34000015
CWHws1/05,Ba,25.725714
CWHws1/05,Cw,21.5414287
CWHws1/05,Hw,25.00857108
CWHws1/05,Sx,24
CWHws1/06,Ba,27.96670017
CWHws1/06,Cw,23.34333335
CWHws1/06,Hw,25.8995455
CWHws1/06,Sx,27.8242501
CWHws1/07,Ba,28
CWHws1/07,Cw,21.50428581
CWHws1/07,Sx,26.77571433
CWHws1/08,Ba,28
CWHws1/08,Cw,20
CWHws1/08,Sx,32
CWHws1/10,Cw,8
CWHwh1/13,Pl,12
CWHws1/11,Ba,12
CWHws1/11,Cw,19.33571434
CWHws1/11,Hw,12
CWHws1/11,Sx,20.62000016
CWHws2/01,Ba,21.71857139
